id;x;y
3;16.89302761;48.75361849
5;16.88096527;48.81309147
6;16.85405496;48.83747925
7;16.82149131;48.86684726
8;16.78202001;48.88941073
9;16.70650588;48.91256068
10;16.66815879;48.92430288
11;16.63048976;48.9420236
12;16.60477503;48.9637234
13;16.59486521;49.01121079
14;16.59132498;49.0344335
15;16.59742528;49.05615115
16;16.60536292;49.08529977
17;16.60562526;49.10315233
18;16.60617019;49.13377738
19;16.60689251;49.16745561
21;16.61280169;49.19058191
22;16.63602255;49.20420374
23;16.67367721;49.24271509
24;16.67301183;49.2766447
25;16.6496442;49.3013737
26;16.6496442;49.3013737
27;16.64781457;49.35209016
28;16.63982785;49.36050328
29;16.63399574;49.38693559
30;16.62754464;49.40864409
31;16.62180952;49.43870731
32;16.60942188;49.48043959
33;16.5980449;49.49993003
34;16.58351847;49.52150997
35;16.57090632;49.55597203
36;16.57090632;49.55597203
37;16.53243741;49.60176255
38;16.52453445;49.62301662
39;16.52035811;49.63328362
40;16.50809858;49.65556026
41;16.48471825;49.70123886
42;16.48326129;49.73545646
43;16.4796426;49.75902451
45;16.48594111;49.81506748
46;16.47417341;49.84758112
47;16.44635823;49.89724703
48;16.42256743;49.93568589
49;16.39542508;49.96853109
50;16.37803356;49.97155388
52;16.28526331;49.99968172
54;16.22378421;49.99402764
55;16.17115573;49.98983216
56;16.13575744;49.99590992
57;16.10871635;49.99498086
58;16.06463792;49.99009763
59;16.01499572;49.98735317
60;15.94628532;50.00224373
61;15.8975468;50.01288497
62;15.83053222;50.02744671
63;15.75637506;50.0318909
64;15.75637506;50.0318909
65;15.72372972;50.0319234
66;15.66985696;50.0304259
67;15.61406639;50.03197624
69;15.57448927;50.0396206
70;15.52674865;50.03656965
71;15.478371;50.03174786
72;15.41867436;50.03745954
73;15.39792105;50.04055814
74;15.35919984;50.03739442
75;15.34902387;50.03101093
76;15.29519638;50.01104065
77;15.23385357;50.01177409
79;15.21425416;50.02523751
80;15.21425416;50.02523751
81;15.15067361;50.05504716
82;15.12477347;50.06762087
83;15.07849665;50.07815192
84;15.0275591;50.08976475
85;14.9842804;50.09954244
86;14.92239053;50.11123031
87;14.90385352;50.09464249
88;14.86607977;50.07666039
89;14.80594836;50.07867643
90;14.77067196;50.0769932
91;14.72307693;50.07466432
92;14.66347939;50.08714696
93;14.61554672;50.08362276
94;14.61554672;50.08362276
95;14.56933359;50.08827583
96;14.5432332;50.09754329
97;14.50137421;50.100976
98;14.43698207;50.08299001
99;16.98218446;48.78729725
100;17.02208242;48.79960623
101;17.06199954;48.82759442
102;17.12203581;48.85640947
103;17.19857966;48.89285615
104;17.19857966;48.89285615
105;17.28945473;48.93691983
106;17.31470947;48.97716926
107;17.31470947;48.97716926
108;17.37511586;49.03261036
109;17.3969907;49.05268637
110;17.42303318;49.07629374
111;17.4651287;49.11493582
112;17.49521047;49.14250983
113;17.50476417;49.16311561
114;17.53127487;49.20260444
115;17.50122961;49.25401593
116;17.49124143;49.29176909
117;17.47664673;49.31647588
118;17.45524061;49.3492832
119;17.45394751;49.37896381
120;17.45243483;49.41548696
122;17.4449006;49.44695936
123;17.48490475;49.50315405
124;17.52350987;49.51708603
125;17.57285743;49.52923013
126;17.68227622;49.55242996
127;17.74173396;49.56538384
128;17.79946796;49.5839412
129;17.85548449;49.57434531
130;17.90192901;49.61517053
131;17.93881048;49.64246821
132;17.98504972;49.67791872
133;18.06644504;49.70754467
134;18.15093239;49.74904205
135;18.18976371;49.77870759
136;18.21011349;49.82128076
137;18.23986392;49.83727479
138;18.26705938;49.85149373
139;18.30322539;49.94032002
141;18.35955;49.90074435
143;18.41472956;49.91247499
144;18.46637032;49.90038223
145;18.50938321;49.89762039
146;18.55075109;49.89398964
149;17.37389341;49.46078692
150;17.33746366;49.48208762
151;17.30529184;49.53408189
152;17.27837786;49.59258094
154;17.22109788;49.67103991
155;17.15669035;49.69730159
156;17.09123388;49.72393451
157;16.96850035;49.75832889
158;16.94291706;49.7767802
159;16.91667431;49.8251834
160;16.88711366;49.87218726
161;16.84154522;49.86804718
163;16.77455479;49.87297129
164;16.70998312;49.8592635
166;16.69361621;49.84951224
168;16.65511156;49.86037669
169;16.60449727;49.88010532
170;16.57261904;49.89246568
171;16.49750924;49.8581018
173;18.10025777;49.17623904
174;18.05853737;49.18831654
175;18.05296577;49.20964342
176;18.05296577;49.20964342
177;18.02025156;49.24291178
178;17.99953333;49.25812084
179;18.00096254;49.28637751
180;17.99390557;49.33531348
181;17.94738396;49.37687549
182;17.95879361;49.41723684
183;17.96696502;49.43719811
184;17.96072607;49.47447393
185;17.93389231;49.50380797
186;17.86423991;49.52351072
187;17.83576617;49.53422397
188;17.81300868;49.53681085
189;17.77275214;49.52740473
190;17.74851072;49.53003135
191;16.08034923;49.56856148
193;17.09118349;48.72353347
195;18.7512819;49.52426767
196;18.7512819;49.52426767
197;18.74109247;49.56411185
198;18.75435713;49.59002721
199;14.84699129;50.85581029
200;16.24697894;49.51368978
201;18.69594774;49.65657519
202;18.68106673;49.67070198
203;18.68106673;49.67070198
204;18.64126389;49.70198447
205;18.62622265;49.71692039
207;18.62253974;49.74324754
208;18.59826984;49.78136865
209;18.58668409;49.79520807
210;18.52822235;49.83024028
211;18.52671292;49.85565859
212;14.43968192;50.11065713
213;14.39528362;50.11250964
214;14.39449374;50.13197154
215;14.39841724;50.15964657
216;14.36446675;50.16792543
217;14.35197349;50.17001943
218;14.35570651;50.17940553
219;14.37272447;50.18938472
220;14.36412184;50.20003164
221;14.3487219;50.22460921
222;14.31354899;50.2383896
223;14.3025346;50.26306843
224;14.3025346;50.26306843
225;14.31676302;50.30197258
226;14.34750539;50.319051
227;14.3717167;50.33522182
228;14.41871306;50.36632865
229;14.4365902;50.38885373
230;14.38660865;50.42267196
231;14.36144591;50.45308922
233;14.32542506;50.45678916
234;14.2962259;50.43712917
235;14.26460544;50.42649395
236;14.22906974;50.4598673
237;14.19440238;50.47768423
238;14.17441355;50.48510318
239;14.14951979;50.49131562
240;14.120525;50.49721843
241;14.09217209;50.50302191
243;14.05947047;50.50978621
244;14.04537085;50.5216238
245;14.05625984;50.53867784
246;14.03338327;50.55873982
247;14.03637885;50.57266846
248;14.04836528;50.59687288
250;14.04457634;50.65948753
251;14.08063996;50.66422497
252;14.10692845;50.67257256
253;14.1257627;50.67863648
254;14.13986063;50.670241
255;14.15712889;50.6706772
256;14.18747351;50.68750961
257;14.19154585;50.71578717
258;14.18608653;50.72380702
259;14.18092566;50.74726623
261;14.20129839;50.77356429
262;14.20960502;50.7851309
263;14.22968949;50.79266075
264;14.22151738;50.81689292
265;14.21520236;50.84640857
266;14.21520236;50.84640857
269;14.42124313;48.60236525
270;13.56971637;49.66415578
271;14.44423707;48.68096906
272;14.43233576;48.70205537
273;14.44746767;48.72518656
274;14.46877339;48.77512974
275;14.47243012;48.78881507
276;14.45323333;48.83644751
277;14.45323333;48.83644751
278;14.4479567;48.85157497
279;14.41954426;48.87009659
280;14.44894247;48.89116517
281;14.44894247;48.89116517
282;14.44955905;48.92446879
283;14.48860718;48.97448867
284;14.48860718;48.97448867
285;14.47937678;48.99478473
287;14.48231962;49.01962509
288;14.4664237;49.03498015
289;14.46418206;49.050704
290;14.52922244;49.07858421
291;14.57434881;49.09725512
292;14.60585041;49.12602118
293;14.62285891;49.14116326
294;14.62285891;49.14116326
295;14.66601927;49.16716265
296;14.71685586;49.19378962
297;14.71685586;49.19378962
298;14.72424187;49.22450359
299;14.72594228;49.25532486
301;14.72036717;49.32126904
302;14.706263;49.35394983
303;14.6973537;49.37956992
304;14.69257194;49.39344563
305;14.67718111;49.41409574
306;14.66862035;49.47295249
307;14.65976966;49.50734563
308;14.65462368;49.53653426
309;14.62187698;49.54319506
310;14.61364246;49.56051276
311;14.59664;49.577721
312;14.58446446;49.60199362
313;14.61959634;49.63789362
314;14.62393701;49.66666374
315;14.65189082;49.69829355
316;14.66633866;49.74166231
317;14.68259664;49.77996723
318;14.6979266;49.83210139
319;14.70173632;49.85033754
320;14.69843929;49.86117684
321;14.71457047;49.86879986
322;14.72761534;49.89718203
323;14.72012891;49.91035512
324;14.70716138;49.93259453
325;14.67767828;49.94954591
326;14.65736496;49.96980905
327;14.66427198;49.99723789
328;14.62568126;50.01400979
329;14.59134026;50.03387187
330;14.5658292;50.04785906
331;14.53824051;50.05502234
333;14.44775903;50.0646569
334;14.40805857;50.06128852
335;14.38887799;50.0114549
336;14.36424721;49.98601276
337;14.32342263;49.95954938
338;14.33034102;49.94624928
339;14.30505243;49.93283759
340;14.28788069;49.92749156
341;14.23882428;49.91648933
342;14.20304686;49.91873861
343;14.17549481;49.9320249
344;14.13113962;49.93700595
345;14.07649206;49.95717172
347;14.04064293;49.94300817
348;14.02041147;49.92831106
349;13.97963382;49.90777236
350;13.95939832;49.88592397
351;13.92932899;49.86875041
352;13.89899492;49.84328152
353;13.83645535;49.8369851
354;13.77913843;49.82260221
355;13.76794406;49.80080474
356;13.74018917;49.78347387
357;13.69997291;49.77412298
358;13.656796;49.75517845
360;13.592048;49.74012209
361;13.53830199;49.74914924
362;13.51172874;49.75164489
363;13.41605893;49.75852142
364;13.38805818;49.74354386
365;13.36745356;49.74011954
366;13.34617506;49.74163819
367;13.28456449;49.72982883
368;13.24202269;49.72443871
369;13.20947846;49.71499796
370;13.21569793;49.68051494
371;13.19828325;49.65709271
372;13.15511281;49.63972095
373;13.12247708;49.63609814
374;13.10128317;49.59724493
375;13.09309966;49.58006909
376;13.07163738;49.54747876
377;13.04304038;49.51780417
378;12.99490176;49.50152325
379;12.98468845;49.46682703
380;12.94315029;49.43505672
381;12.9250682;49.43570422
382;12.86878937;49.39910959
383;12.86513397;49.37437521
386;17.9085361;49.93450897
387;17.9594158;49.91775632
388;18.00770436;49.91269851
389;18.03094528;49.90946235
390;18.0470963;49.90720705
391;18.09305648;49.90123545
392;18.14138026;49.89783135
393;18.17244429;49.87932057
394;18.19567032;49.84205946
395;13.32598621;49.74753545
396;13.30371249;49.75161817
397;13.27633396;49.75995361
398;13.24492145;49.76236124
399;13.16690937;49.77706986
400;13.12998788;49.78596063
401;13.12998788;49.78596063
402;13.06182736;49.76213224
403;13.04125725;49.76207444
404;13.00061993;49.74128447
405;12.93836623;49.74419047
406;12.91123007;49.76304795
407;12.84590402;49.78615346
408;16.82366664;48.8898791
