3155;49.9601250N, 15.9148164E
3156;49.8791861N, 15.5862656E
3157;49.9140831N, 16.6138681E
3158;49.8359047N, 16.0429761E
3159;50.0222367N, 15.4371086E
3160;50.0647006N, 15.8541128E
3161;49.2277575N, 16.1175628E
3162;49.8171606N, 15.4766247E
3163;49.2594683N, 15.2385928E
3164;49.5385708N, 15.8425922E
3165;49.4238286N, 15.0141008E
3166;49.4745333N, 15.6546694E
3167;49.3600686N, 16.0261794E
3168;49.6438367N, 15.3181122E
3169;49.2908203N, 16.2256936E
3170;49.2104097N, 15.4830119E
3171;49.7140225N, 15.6773286E
3172;49.5448444N, 15.3831536E
3173;49.2913406N, 15.4829586E
3174;49.5186844N, 16.2490133E
3175;49.0941414N, 15.8924122E
3176;49.6968444N, 15.8055622E
3177;49.4081047N, 15.4846592E
3178;49.2842944N, 15.9468019E
3179;49.5628556N, 16.0755306E
3180;49.2174408N, 15.8829425E
3181;48.8928981N, 15.8089697E
3182;49.3091572N, 16.6124425E
3183;48.8780081N, 17.2719183E
3184;48.9339269N, 16.7349233E
3185;48.9249850N, 17.4282019E
3186;48.7279658N, 16.8947942E
3187;48.8542003N, 16.0428344E
3188;48.9925550N, 16.3533033E
3189;49.2796939N, 16.9377169E
3190;48.9043128N, 16.9463258E
3191;49.4517906N, 16.3167114E
3192;49.0264300N, 17.1920000E
3193;49.3532781N, 16.4002553E
3194;48.8065567N, 16.6362147E
3195;49.1700003N, 16.8886078E
3196;49.4093472N, 16.6439806E
3197;49.0902286N, 16.6148208E
3198;49.1988461N, 16.6095253E
3199;49.5041942N, 16.5974058E
3200;49.1173978N, 16.4260817E
3201;49.2430783N, 17.4738706E
3202;49.2630842N, 17.7397358E
3203;49.1404642N, 17.2150086E
3204;49.0613372N, 17.3652808E
3205;49.3523183N, 18.2936297E
3206;49.1339131N, 18.0384086E
3207;49.4040336N, 17.8130553E
3208;49.0353917N, 17.4581314E
3209;49.0172728N, 17.5869658E
3210;49.4863628N, 18.1068986E
3211;49.3327950N, 17.5816775E
3212;49.4362322N, 18.0389497E
3213;49.1835408N, 17.3087269E
3214;49.3393861N, 17.9898739E
3215;49.0250686N, 17.8444850E
3216;49.1644919N, 17.6369144E
3217;49.0950972N, 17.8690711E
3218;49.1947950N, 18.1324075E
3219;49.0738933N, 17.6864308E
3220;49.2975111N, 17.3831889E
3221;49.4721881N, 17.1102508E
3222;49.8656686N, 16.8329192E
3223;49.7052042N, 17.0764219E
3224;50.2836300N, 17.2498492E
3225;49.5775514N, 17.0771339E
3226;50.3719917N, 17.1853003E
3227;49.6292428N, 17.3382444E
3228;50.0714275N, 17.1566814E
3229;49.3931664N, 17.4231894E
3230;49.5268975N, 16.8466939E
3231;49.4659153N, 17.3260300E
3232;50.2567428N, 17.4285953E
3233;49.9655333N, 16.9706411E
3234;49.5269214N, 17.5847983E
3235;50.3098033N, 17.1008656E
3236;49.7323258N, 17.3016658E
3237;49.5873078N, 17.8025361E
3238;49.4029614N, 17.1741639E
3239;49.9378239N, 16.8361122E
3240;50.2293917N, 17.2130381E
3241;49.5914711N, 18.1172242E
3242;49.9188506N, 17.9144706E
3243;49.9341603N, 17.2688467E
3244;49.8919956N, 18.5697353E
3245;49.5295867N, 18.8004094E
3246;49.9207803N, 18.3236381E
3247;49.7254544N, 18.0749689E
3248;50.0504942N, 17.7332733E
3249;49.6472358N, 17.9346669E
3250;49.8047531N, 17.7733678E
3251;49.5459714N, 18.4473267E
3252;50.1051008N, 17.4467850E
3253;49.5382717N, 18.0225081E
3254;49.7876614N, 18.5902419E
3255;50.2043436N, 17.5741622E
