3130,3005,2:46:00,14.1
3005,3130,2:47:00,14.2
3001,3135,1:09:00,6.8
3135,3001,1:34:00,6.8
3127,3001,1:25:00,6.5
3001,3127,1:09:00,6.5
3001,3125,2:40:00,13.7
3125,3001,2:51:00,13.9
3000,887,0:29:00,2.8
887,3000,0:40:00,2.8
887,3000,0:40:00,2.8
3000,887,0:29:00,2.8
887,3000,0:40:00,2.8
3000,887,0:29:00,2.8
887,3000,0:40:00,2.8
3000,887,0:29:00,2.8
