279,"Chlumec u Českých Budějovic",False
280,"Kamenný Újezd u Českých Budějovic",False
281,"Kamenný Újezd u Č. Budějovic zast.",False
282,"Včelná",False
283,"České Budějovice jižní zastávka",False
285,"České Budějovice severní zastávka",False
286,"Výh Nemanice I",False
287,"Hrdějovice",False
288,"Hosín",False
289,"Hluboká nad Vltavou-Zámostí",False
290,"Chotýčany",False
291,"Ševětín",False
292,"Neplachov",False
293,"Dynín zastávka",False
294,"Dynín",False
295,"Horusice",False
296,"Veselí nad Lužnicí zastávka",False
298,"Řípec-Dráchov",False
300,"Roudná",False
301,"Doubí u Tábora",False
304,"Tábor-Čápův Dvůr",False
307,"Sudoměřice u Tábora",False
308,"Mezno",False
309,"Střezimíř",False
310,"Červený Újezd u Votic",False
311,"Ješetice",False
312,"Heřmaničky",False
315,"Tomice",False
316,"Bystřice u Benešova",False
318,"Mrač",False
320,"Pyšely",False
321,"Čtyřkoly",False
322,"Senohraby",False
323,"Mirošovice u Prahy",False
324,"Mnichovice",False
326,"Světice",False
328,"Praha-Kolovraty",False
329,"Praha-Uhříněves",False
330,"Praha-Horní Měcholupy",False
335,"Praha-Velká Chuchle",False
337,"Černošice",False
338,"Černošice-Mokropsy",False
339,"Všenory",False
340,"Dobřichovice",False
343,"Karlštejn",False
344,"Srbsko",False
346,"Beroun seř.n.",False
347,"Králův Dvůr",False
348,"Králův Dvůr - Popovice",False
350,"Stašov",False
351,"Praskolesy",False
353,"Cerhovice",False
355,"Kařízek",False
356,"Mýto",False
357,"Holoubkov",False
358,"Svojkovice",False
359,"Rokycany-Borek",False
361,"Klabava",False
362,"Ejpovice",False
363,"Plzeň-Doubravka",False
366,"Plzeň-Skvrňany",False
367,"Vejprnice",False
368,"Tlučná",False
370,"Zbůch",False
371,"Chotěšov u Stoda",False
373,"Hradec u Stoda",False
375,"Dolní Kamenice",False
377,"Osvračín",False
378,"Blížejov",False
379,"Milavče",False
382,"Babylon",False
383,"Česká Kubice",False
384,"Česká Kubice státní hranice",False
387,"Opava-Komárov",False
388,"Štítina",False
389,"Mokré Lazce",False
390,"Lhota u Opavy",False
391,"Háj ve Slezsku",False
392,"Jilešovice",False
393,"Děhylov",False
394,"Ostrava-Třebovice",False
395,"Plzeň-Zadní Skvrňany",False
396,"Plzeň-Křimice",False
397,"Vochov",False
399,"Plešnice",False
400,"Pňovany zastávka",False
402,"Sulislav",False
403,"Vranov u Stříbra",False
405,"Milíkov",False
407,"Ošelín",False
408,"Pavlovice",False
409,"Brod nad Tichou",False
411,"Chodová Planá",False
413,"Valy u Mariánských Lázní",False
415,"Dolní Žandov",False
416,"Salajna",False
417,"Lipová u Chebu",False
418,"Stebnice",False
419,"Cheb-Všeboř",False
421,"Františkovy Lázně-Aquaforum",False
423,"Boršov nad Vltavou",False
424,"Černý Dub",False
425,"Hradce",False
426,"Vrábče",False
427,"Křemže",False
428,"Holubov",False
429,"Třísov",False
430,"Plešovice",False
431,"Zlatá Koruna",False
432,"Přísečná",False
433,"Domoradice",False
438,"Chabařovice",False
439,"Ústí západ k.601-603",False
440,"Ústí n.L.z.vnější n.",False
444,"Málkov",False
448,"Kyjice",False
451,"Želenice nad Bílinou",False
452,"Bílina kyselka",False
454,"Chotějovice",False
455,"Želénky",False
457,"Oldřichov u Duchcova",False
458,"Řetenice",False
459,"Tršnice",False
460,"Nebanice",False
462,"Dasnice",False
463,"Šabina",False
464,"Hlavno",False
465,"Citice",False
466,"Sokolov seř.n.",False
468,"Královské Poříčí",False
473,"Dalovice",False
474,"Hájek",False
476,"Vojkovice nad Ohří",False
477,"Stráž nad Ohří",False
478,"Boč",False
479,"Perštejn",False
480,"Kotvina",False
481,"Troubsko",False
482,"Střelice dolní",False
484,"Omice",False
485,"Tetčice",False
486,"Rosice u Brna",False
488,"Vysoké Popovice",False
490,"Kralice nad Oslavou",False
493,"Vladislav zastávka",False
494,"Vladislav",False
496,"Třebíč - Borovina",False
497,"Krahulov",False
499,"Číchov",False
500,"Bransouze",False
501,"Dolní Smrčné",False
502,"Přímělkov",False
503,"Bítovčice",False
504,"Luka nad Jihlavou",False
505,"Malý Beranov",False
507,"Řípec",False
508,"Doňov",False
510,"Mnich",False
511,"Děbolín",False
513,"Rodvínov",False
514,"Jarošov nad Nežárkou",False
515,"Bednárec",False
516,"Bednáreček",False
517,"Popelín",False
519,"Horní Vilímeč",False
520,"Jihlávka",False
521,"Horní Ves",False
523,"Švábov",False
527,"Dvorce",False
528,"Rantířov",False
529,"Jihlava-Staré Hory",False
531,"Výh Nemanice II",False
532,"Hluboká nad Vltavou",False
534,"Zbudov",False
536,"Záblatíčko",False
538,"Milenovice",False
541,"Skály",False
542,"Heřmaň obec",False
544,"Sudoměř u Písku",False
545,"Čejetice",False
546,"Modlešovice",False
548,"Pracejovice",False
549,"Katovice",False
550,"Dolní Poříčí",False
551,"Střelské Hoštice",False
553,"Velký Bor",False
554,"Jetenovice",False
555,"Pačejov",False
556,"Kovčín",False
557,"Nekvasovy",False
558,"Mileč",False
560,"Srby",False
561,"Ždírec u Plzně",False
563,"Zdemyslice",False
565,"Šťáhlavy",False
566,"Starý Plzenec",False
567,"Plzeň-Koterov",False
568,"Plzeň hl.n.lobez.k.",False
570,"Nová Ves nad Lužnicí",False
571,"Dvory nad Lužnicí",False
572,"Hrdlořezy",False
574,"Suchdol nad Lužnicí",False
576,"Majdalena zastávka",False
579,"Lužnice",False
580,"Lomnice nad Lužnicí",False
581,"Frahelž",False
582,"Vlkov nad Lužnicí",False
584,"Plzeň-Doudlevce",False
585,"Plzeň-Valcha",False
586,"Dobřany zastávka",False
593,"Červené Poříčí",False
595,"Dehtín",False
596,"Točník",False
607,"Petrovice nad Úhlavou",False
610,"Kolín-Zálabí",False
611,"Veltruby",False
613,"Libice nad Cidlinou",False
615,"Velké Zboží",False
616,"Nymburk předjízd.n.",False
618,"Kamenné Zboží",False
619,"Kostomlaty nad Labem",False
620,"Stratov",False
621,"Ostrá",False
623,"Lysá nad Labem-Dvorce",False
624,"Otradovice",False
626,"Dřísy",False
627,"Ovčáry",False
629,"Malý Újezd",False
631,"Mělník-Mlazice",False
632,"Liběchov",False
634,"Hoštka",False
635,"Polepy",False
